year,state,state_abbrev,GDP,homeownership(%),unemployment_rate,population(thousands),median income,avg house data
1997,Alabama,AL,143646,71.3,5,4320,49983,191.43
1998,Alabama,AL,148596,72.9,4.4,4351,55997,201.27
1999,Alabama,AL,154094,74.8,4.7,4370,54806,206.43
2000,Alabama,AL,156560,73.2,4.6,4452,49989,211.62
2001,Alabama,AL,156404,73.2,5.1,4468,51798,223.33
2002,Alabama,AL,160870,73.7,5.9,4480,52633,229.90
2003,Alabama,AL,164992,76.2,6,4503,50988,239.01
2004,Alabama,AL,175508,78,5.7,4531,48812,248.15
2005,Alabama,AL,181386,76.6,4.5,4570,46905,265.63
2006,Alabama,AL,184796,74.2,4,4629,47885,286.61
2007,Alabama,AL,185869,73.3,4,4673,47244,300.17
2008,Alabama,AL,185298,73,5.7,4718,47382,303.59
2009,Alabama,AL,178021,74.1,11,4758,47654,299.11
2010,Alabama,AL,182263,73.2,10.5,4785,51999,287.93
2011,Alabama,AL,185055,72.9,9.6,4799,51248,278.14
2012,Alabama,AL,186299,71.9,8,4816,47624,276.94
2013,Alabama,AL,188165,72.7,7.2,4830,44888,274.77
2014,Alabama,AL,186335,72.1,6.8,4842,51092,278.34
2015,Alabama,AL,188716,70,6.1,4853,47175,286.71
2016,Alabama,AL,189614,69.7,5.8,4865,49412,295.52
2017,Alabama,AL,193053,70,4.4,4875,52105,305.64
2018,Alabama,AL,196876,70.3,3.9,4888,49936,319.83
1997,Alaska,AK,42262,67.2,7.1,609,77275,158.66
1998,Alaska,AK,41157,66.3,6.3,615,77703,163.53
1999,Alaska,AK,40722,66.4,6.5,620,81556,169.21
2000,Alaska,AK,39517,66.4,6.4,628,78271,172.12
2001,Alaska,AK,40974,65.3,6.4,634,70945,180.71
2002,Alaska,AK,42881,67.1,7.3,642,75109,190.50
2003,Alaska,AK,42151,70,7.8,648,73868,199.84
2004,Alaska,AK,43735,67.2,7.5,659,73378,220.00
2005,Alaska,AK,45052,66,6.9,667,72041,247.19
2006,Alaska,AK,48517,67.2,6.6,675,70437,271.38
2007,Alaska,AK,51114,66.6,6.3,680,74812,282.06
2008,Alaska,AK,50884,66.4,6.7,687,76477,280.93
2009,Alaska,AK,55838,66.8,7.7,699,68734,279.45
2010,Alaska,AK,54151,65.7,7.9,714,79888,277.76
2011,Alaska,AK,54646,64.4,7.6,722,79237,280.08
2012,Alaska,AK,57670,63.7,7.1,730,71804,281.33
2013,Alaska,AK,54750,64.6,7,737,79611,290.16
2014,Alaska,AK,53209,64.9,6.9,736,66767,296.25
2015,Alaska,AK,53585,62.3,6.5,738,64260,306.15
2016,Alaska,AK,52608,65.2,6.9,742,78249,313.12
2017,Alaska,AK,52492,65.5,7,740,72275,318.63
2018,Alaska,AK,52311,63.7,6.6,737,69739,322.84
1997,Arkansas,AR,82756,66.7,5.2,2524,51237,167.83
1998,Arkansas,AR,84795,66.7,5.2,2538,57269,174.01
1999,Arkansas,AR,89317,65.6,4.6,2551,55931,178.33
2000,Arkansas,AR,90206,68.9,4.3,2679,58172,182.52
2001,Arkansas,AR,89923,71.2,5,2692,60715,192.28
2002,Arkansas,AR,92885,70.3,5.5,2706,55616,198.66
2003,Arkansas,AR,96545,69.6,5.9,2725,56340,206.85
2004,Arkansas,AR,101210,69.1,5.7,2750,58430,218.82
2005,Arkansas,AR,104653,69.2,5.2,2781,53662,234.80
2006,Arkansas,AR,106940,70.8,5.2,2822,54127,249.16
2007,Arkansas,AR,106155,69.5,5.3,2849,58319,256.50
2008,Arkansas,AR,105791,68.9,5.5,2875,54403,255.56
2009,Arkansas,AR,102528,68.5,7.8,2897,51546,252.33
2010,Arkansas,AR,105923,67.9,8.2,2922,56805,245.91
2011,Arkansas,AR,108295,67.6,8.3,2940,52294,241.86
2012,Arkansas,AR,108745,66,7.6,2952,58250,243.18
2013,Arkansas,AR,111779,65.4,7.2,2960,54849,246.70
2014,Arkansas,AR,112706,65.4,6,2968,55378,249.73
2015,Arkansas,AR,113177,67.1,5,2978,57321,256.16
2016,Arkansas,AR,113788,67.6,4,2990,59750,263.78
2017,Arkansas,AR,114851,65,3.7,3003,61155,274.25
2018,Arkansas,AR,115933,64.7,3.7,3014,62283,284.94
1997,Arizona,AZ,168551,63,4.6,4552,40942,173.76
1998,Arizona,AZ,183138,64.3,4.3,4667,42716,182.92
1999,Arizona,AZ,198096,66.3,4.4,4778,44875,191.93
2000,Arizona,AZ,207793,68,4,5161,47400,203.57
2001,Arizona,AZ,212656,68.1,4.8,5273,43424,217.08
2002,Arizona,AZ,219311,65.6,6.1,5396,45332,228.93
2003,Arizona,AZ,233342,67,5.7,5510,43798,242.14
2004,Arizona,AZ,243246,68.7,5,5652,46620,272.55
2005,Arizona,AZ,263061,71.1,4.7,5839,42867,353.49
2006,Arizona,AZ,277288,71.6,4.2,6029,47250,419.01
2007,Arizona,AZ,284907,70.4,3.9,6168,46282,414.60
2008,Arizona,AZ,277477,69.1,6.2,6280,44536,356.91
2009,Arizona,AZ,255081,68.9,9.9,6343,49527,299.82
2010,Arizona,AZ,257485,66.6,10.4,6408,46265,262.79
2011,Arizona,AZ,263211,66,9.5,6473,46213,234.60
2012,Arizona,AZ,268289,65.3,8.3,6557,42752,243.94
2013,Arizona,AZ,270149,65.1,7.7,6635,42515,277.10
2014,Arizona,AZ,273407,63.5,6.8,6734,47695,302.72
2015,Arizona,AZ,279435,61.7,6.1,6834,45362,321.32
2016,Arizona,AZ,288682,61.9,5.4,6945,48037,343.62
2017,Arizona,AZ,297210,64.4,4.9,7049,50964,372.35
2018,Arizona,AZ,309067,65.7,4.8,7172,49781,405.70
1997,California,CA,1378654,55.7,6.4,32218,62120,206.98
1998,California,CA,1470393,56,5.9,32683,63204,224.31
1999,California,CA,1582377,55.7,5.2,33145,65961,242.29
2000,California,CA,1709939,57.1,4.9,33988,67195,272.69
2001,California,CA,1702776,58.2,5.4,34479,68456,307.44
2002,California,CA,1743651,57.7,6.7,34872,66397,341.78
2003,California,CA,1825424,58.9,6.8,35253,67473,384.36
2004,California,CA,1902319,59.7,6.2,35575,65594,471.60
2005,California,CA,1990141,59.7,5.4,35828,66710,582.15
2006,California,CA,2072177,60.2,4.9,36021,65858,641.32
2007,California,CA,2103618,58.3,5.4,36250,62652,606.28
2008,California,CA,2111138,57.5,7.3,36604,69065,485.60
2009,California,CA,2026487,57,11.2,36961,59713,420.22
2010,California,CA,2058138,56.1,12.2,37321,67664,407.63
2011,California,CA,2091586,55.3,11.7,37642,66658,386.24
2012,California,CA,2144497,54.5,10.4,37961,62477,386.55
2013,California,CA,2220868,54.3,8.9,38281,65640,435.69
2014,California,CA,2309928,54.2,7.5,38625,64221,489.46
2015,California,CA,2426143,54.3,6.2,38953,67448,524.40
2016,California,CA,2498840,53.8,5.5,39209,69729,562.04
2017,California,CA,2587572,54.4,4.8,39399,71745,605.93
2018,California,CA,2677939,55.1,4.2,39557,70489,654.35
1997,Colorado,CO,184193,64.1,3.5,3891,67658,210.43
1998,Colorado,CO,201076,65.2,3.6,3969,71951,222.96
1999,Colorado,CO,216300,68.1,3.1,4056,72837,242.28
2000,Colorado,CO,232752,68.3,2.8,4327,70538,270.57
2001,Colorado,CO,236383,68.5,3.8,4426,70231,295.96
2002,Colorado,CO,236786,68.9,5.5,4490,67597,310.75
2003,Colorado,CO,238540,71.3,6,4529,68349,318.81
2004,Colorado,CO,240798,71.1,5.5,4575,67811,330.01
2005,Colorado,CO,250840,71,5,4632,65026,345.91
2006,Colorado,CO,256124,70.1,4.3,4720,69537,356.16
2007,Colorado,CO,264577,70.2,3.7,4804,65618,360.37
2008,Colorado,CO,267713,69,4.8,4890,74228,356.77
2009,Colorado,CO,262380,68.4,7.3,4972,69520,351.04
2010,Colorado,CO,264791,68.5,8.7,5048,71251,339.97
2011,Colorado,CO,268681,65.9,8.4,5122,65601,329.81
2012,Colorado,CO,273520,65.3,7.9,5194,62735,334.40
2013,Colorado,CO,282534,64.4,6.9,5270,73325,355.28
2014,Colorado,CO,295010,65,5,5351,64702,385.09
2015,Colorado,CO,307912,63.6,3.9,5452,70585,426.65
2016,Colorado,CO,315425,62.4,3.2,5541,73841,472.32
2017,Colorado,CO,325129,63.7,2.7,5616,76812,518.46
2018,Colorado,CO,336365,64.4,3.3,5696,73034,567.43
1997,Connecticut,CT,190791,68.1,5,3269,68835,228.02
1998,Connecticut,CT,196248,69.3,3.4,3273,71811,239.44
1999,Connecticut,CT,202230,69.1,2.9,3282,76489,252.28
2000,Connecticut,CT,216370,70,2.4,3412,73363,271.82
2001,Connecticut,CT,220287,71.8,3.1,3433,74726,295.74
2002,Connecticut,CT,219959,71.5,4.3,3459,75847,324.07
2003,Connecticut,CT,222240,73,5.4,3484,75226,351.63
2004,Connecticut,CT,237133,71.7,5,3496,73427,393.99
2005,Connecticut,CT,242485,70.5,4.9,3507,74492,442.14
2006,Connecticut,CT,251581,71.1,4.3,3517,76115,467.13
2007,Connecticut,CT,261129,70.3,4.5,3527,74814,468.20
2008,Connecticut,CT,259722,70.7,5.7,3546,79446,448.15
2009,Connecticut,CT,248041,70.5,7.9,3562,77255,422.75
2010,Connecticut,CT,247461,70.8,9.1,3579,73194,406.87
2011,Connecticut,CT,242020,70.6,8.8,3588,72812,393.89
2012,Connecticut,CT,243801,68.8,8.3,3594,73258,386.40
2013,Connecticut,CT,241081,68.5,7.8,3595,70396,382.91
2014,Connecticut,CT,237558,67.4,6.6,3595,76174,382.91
2015,Connecticut,CT,241916,66.5,5.7,3588,76085,389.27
2016,Connecticut,CT,241447,64.2,5.1,3579,77910,392.42
2017,Connecticut,CT,239884,66.1,4.7,3574,75623,396.79
2018,Connecticut,CT,242171,65.3,4.1,3573,77870,403.23
1997,Delaware,DE,45231,69.2,4,735,67345,237.66
1998,Delaware,DE,49743,71,3.7,744,64013,245.40
1999,Delaware,DE,53862,71.6,3.4,754,70495,254.79
2000,Delaware,DE,56109,72,3.7,786,73646,269.40
2001,Delaware,DE,58882,75.4,3.5,796,69495,289.06
2002,Delaware,DE,56814,75.6,4,806,67088,312.24
2003,Delaware,DE,57957,77.2,4.3,818,59278,338.88
2004,Delaware,DE,60682,77.3,4,831,70522,385.64
2005,Delaware,DE,59974,75.8,4.1,845,58402,444.78
2006,Delaware,DE,61497,76.8,3.6,859,66039,487.08
2007,Delaware,DE,61235,76.8,3.4,872,63727,499.16
2008,Delaware,DE,58656,76.2,4.9,884,61141,482.51
2009,Delaware,DE,60404,76.5,8.3,892,64031,456.35
2010,Delaware,DE,60016,74.7,8.4,900,66274,437.10
2011,Delaware,DE,62017,74.2,7.5,907,65468,412.45
2012,Delaware,DE,61976,73.4,7.2,915,53659,404.18
2013,Delaware,DE,59157,74.1,6.7,924,61160,407.37
2014,Delaware,DE,63693,74.3,5.7,933,66545,414.19
2015,Delaware,DE,65635,73.3,4.9,941,61073,424.97
2016,Delaware,DE,63718,73,4.5,949,60740,436.19
2017,Delaware,DE,63651,70,4.5,957,65012,444.95
2018,Delaware,DE,63855,70.8,3.8,967,61216,464.97
1997,Florida,FL,560888,66.9,4.8,14683,50791,178.59
