YEAR,STATE,STATE ABBREV.,GDP,HOMEOWNERSHIP(%)
1997,Alabama,AL,143646,71.3
1998,Alabama,AL,148596,72.9
1999,Alabama,AL,154094,74.8
2000,Alabama,AL,156560,73.2
2001,Alabama,AL,156404,73.2
2002,Alabama,AL,160870,73.7
2003,Alabama,AL,164992,76.2
2004,Alabama,AL,175508,78.0
2005,Alabama,AL,181386,76.6
2006,Alabama,AL,184796,74.2
2007,Alabama,AL,185869,73.3
2008,Alabama,AL,185298,73.0
2009,Alabama,AL,178021,74.1
2010,Alabama,AL,182263,73.2
2011,Alabama,AL,185055,72.9
2012,Alabama,AL,186299,71.9
2013,Alabama,AL,188165,72.7
2014,Alabama,AL,186335,72.1
2015,Alabama,AL,188716,70.0
2016,Alabama,AL,189614,69.7
2017,Alabama,AL,193053,70.0
2018,Alabama,AL,196876,70.3
1997,Alaska,AK,42262,67.2
1998,Alaska,AK,41157,66.3
1999,Alaska,AK,40722,66.4
2000,Alaska,AK,39517,66.4
2001,Alaska,AK,40974,65.3
2002,Alaska,AK,42881,67.1
2003,Alaska,AK,42151,70.0
2004,Alaska,AK,43735,67.2
2005,Alaska,AK,45052,66.0
2006,Alaska,AK,48517,67.2
2007,Alaska,AK,51114,66.6
2008,Alaska,AK,50884,66.4
2009,Alaska,AK,55838,66.8
2010,Alaska,AK,54151,65.7
2011,Alaska,AK,54646,64.4
2012,Alaska,AK,57670,63.7
2013,Alaska,AK,54750,64.6
2014,Alaska,AK,53209,64.9
2015,Alaska,AK,53585,62.3
2016,Alaska,AK,52608,65.2
2017,Alaska,AK,52492,65.5
2018,Alaska,AK,52311,63.7
1997,Arkansas,AR,82756,66.7
1998,Arkansas,AR,84795,66.7
1999,Arkansas,AR,89317,65.6
2000,Arkansas,AR,90206,68.9
2001,Arkansas,AR,89923,71.2
2002,Arkansas,AR,92885,70.3
2003,Arkansas,AR,96545,69.6
2004,Arkansas,AR,101210,69.1
2005,Arkansas,AR,104653,69.2
2006,Arkansas,AR,106940,70.8
2007,Arkansas,AR,106155,69.5
2008,Arkansas,AR,105791,68.9
2009,Arkansas,AR,102528,68.5
2010,Arkansas,AR,105923,67.9
2011,Arkansas,AR,108295,67.6
2012,Arkansas,AR,108745,66.0
2013,Arkansas,AR,111779,65.4
2014,Arkansas,AR,112706,65.4
2015,Arkansas,AR,113177,67.1
2016,Arkansas,AR,113788,67.6
2017,Arkansas,AR,114851,65.0
2018,Arkansas,AR,115933,64.7
1997,Arizona,AZ,168551,63.0
1998,Arizona,AZ,183138,64.3
1999,Arizona,AZ,198096,66.3
2000,Arizona,AZ,207793,68.0
2001,Arizona,AZ,212656,68.1
2002,Arizona,AZ,219311,65.6
2003,Arizona,AZ,233342,67.0
2004,Arizona,AZ,243246,68.7
2005,Arizona,AZ,263061,71.1
2006,Arizona,AZ,277288,71.6
2007,Arizona,AZ,284907,70.4
2008,Arizona,AZ,277477,69.1
2009,Arizona,AZ,255081,68.9
2010,Arizona,AZ,257485,66.6
2011,Arizona,AZ,263211,66.0
2012,Arizona,AZ,268289,65.3
2013,Arizona,AZ,270149,65.1
2014,Arizona,AZ,273407,63.5
2015,Arizona,AZ,279435,61.7
2016,Arizona,AZ,288682,61.9
2017,Arizona,AZ,297210,64.4
2018,Arizona,AZ,309067,65.7
1997,California,CA,1378654,55.7
1998,California,CA,1470393,56.0
1999,California,CA,1582377,55.7
2000,California,CA,1709939,57.1
2001,California,CA,1702776,58.2
2002,California,CA,1743651,57.7
2003,California,CA,1825424,58.9
2004,California,CA,1902319,59.7
2005,California,CA,1990141,59.7
2006,California,CA,2072177,60.2
2007,California,CA,2103618,58.3
2008,California,CA,2111138,57.5
2009,California,CA,2026487,57.0
2010,California,CA,2058138,56.1
2011,California,CA,2091586,55.3
2012,California,CA,2144497,54.5
2013,California,CA,2220868,54.3
2014,California,CA,2309928,54.2
2015,California,CA,2426143,54.3
2016,California,CA,2498840,53.8
2017,California,CA,2587572,54.4
2018,California,CA,2677939,55.1
1997,Colorado,CO,184193,64.1
1998,Colorado,CO,201076,65.2
1999,Colorado,CO,216300,68.1
2000,Colorado,CO,232752,68.3
2001,Colorado,CO,236383,68.5
2002,Colorado,CO,236786,68.9
2003,Colorado,CO,238540,71.3
2004,Colorado,CO,240798,71.1
2005,Colorado,CO,250840,71.0
2006,Colorado,CO,256124,70.1
2007,Colorado,CO,264577,70.2
2008,Colorado,CO,267713,69.0
2009,Colorado,CO,262380,68.4
2010,Colorado,CO,264791,68.5
2011,Colorado,CO,268681,65.9
2012,Colorado,CO,273520,65.3
2013,Colorado,CO,282534,64.4
2014,Colorado,CO,295010,65.0
2015,Colorado,CO,307912,63.6
2016,Colorado,CO,315425,62.4
